iter	Passed	Remaining
670	1167	572
671	1168	570
672	1169	568
673	1172	566
674	1173	564
675	1173	562
676	1174	560
677	1175	558
678	1176	556
679	1177	553
680	1177	551
681	1178	549
682	1179	547
683	1179	545
684	1180	542
685	1183	541
686	1185	540
687	1187	538
688	1188	536
689	1189	534
690	1189	532
691	1190	529
692	1191	527
693	1192	525
694	1193	523
695	1193	521
696	1194	519
697	1195	517
698	1196	515
699	1197	513
700	1203	513
701	1204	511
702	1205	509
703	1206	507
704	1208	505
705	1209	503
706	1210	501
707	1210	499
708	1211	497
709	1212	495
710	1212	492
711	1214	491
712	1215	489
713	1216	487
714	1217	485
715	1218	483
716	1219	481
717	1219	479
718	1220	476
719	1221	474
720	1221	472
721	1222	470
722	1223	468
723	1224	466
724	1224	464
725	1225	462
726	1226	460
727	1226	458
728	1227	456
729	1228	454
730	1230	452
731	1231	450
732	1231	448
733	1232	446
734	1233	444
735	1233	442
736	1234	440
737	1235	438
738	1235	436
739	1236	434
740	1236	432
741	1237	430
742	1238	428
743	1238	426
744	1239	424
745	1240	422
746	1240	420
747	1241	418
748	1241	416
749	1242	414
750	1244	412
751	1245	410
752	1245	408
753	1246	406
754	1247	404
755	1247	402
756	1248	400
757	1249	398
758	1249	396
759	1250	394
760	1250	392
761	1251	390
762	1252	388
763	1252	386
764	1253	385
765	1253	383
766	1254	381
767	1255	379
768	1256	377
769	1256	375
770	1257	373
771	1258	371
772	1259	369
773	1259	367
774	1260	365
775	1261	364
776	1262	362
777	1262	360
778	1263	358
779	1264	356
780	1264	354
781	1265	352
782	1265	350
783	1266	348
784	1267	347
785	1267	345
786	1268	343
787	1268	341
788	1269	339
789	1270	337
790	1270	335
791	1271	333
792	1272	332
793	1273	330
794	1273	328
795	1274	326
796	1274	324
797	1275	322
798	1276	321
799	1276	319
800	1277	317
801	1278	315
802	1278	313
803	1279	311
804	1280	310
805	1280	308
806	1281	306
807	1281	304
808	1282	302
809	1283	300
810	1283	299
811	1284	297
812	1285	295
813	1285	293
814	1286	292
815	1287	290
816	1287	288
817	1288	286
818	1289	284
819	1289	283
820	1290	281
821	1291	279
822	1291	277
823	1292	276
824	1293	274
825	1293	272
826	1294	270
827	1295	269
828	1295	267
829	1296	265
830	1297	263
831	1297	262
832	1298	260
833	1299	258
834	1300	256
835	1300	255
836	1301	253
837	1302	251
838	1302	249
839	1303	248
840	1304	246
841	1304	244
842	1305	243
843	1305	241
844	1306	239
845	1307	237
846	1307	236
847	1308	234
848	1309	232
849	1309	231
850	1310	229
851	1311	227
852	1311	226
853	1313	224
854	1314	222
855	1315	221
856	1317	219
857	1318	218
858	1319	216
859	1320	214
860	1321	213
861	1321	211
862	1322	209
863	1323	208
864	1323	206
865	1324	204
866	1325	203
867	1325	201
868	1326	199
869	1327	198
870	1328	196
871	1328	195
872	1329	193
873	1330	191
874	1330	190
875	1331	188
876	1332	186
877	1332	185
878	1333	183
879	1333	181
880	1334	180
881	1335	178
882	1335	177
883	1336	175
884	1337	173
885	1337	172
886	1338	170
887	1339	168
888	1339	167
889	1340	165
890	1341	164
891	1341	162
892	1342	160
893	1343	159
894	1343	157
895	1344	156
896	1345	154
897	1346	152
898	1346	151
899	1347	149
900	1348	148
901	1348	146
902	1349	144
903	1349	143
904	1350	141
905	1351	140
906	1351	138
907	1352	137
908	1352	135
909	1353	133
910	1354	132
911	1354	130
912	1355	129
913	1356	127
914	1356	126
915	1357	124
916	1357	122
917	1358	121
918	1359	119
919	1360	118
920	1360	116
921	1361	115
922	1361	113
923	1362	112
924	1363	110
925	1363	108
926	1364	107
927	1364	105
928	1365	104
929	1366	102
930	1366	101
931	1367	99
932	1368	98
933	1368	96
934	1369	95
935	1369	93
936	1370	92
937	1371	90
938	1371	89
939	1372	87
940	1373	86
941	1373	84
942	1374	83
943	1374	81
944	1375	80
945	1376	78
946	1376	77
947	1377	75
948	1378	74
949	1378	72
950	1379	71
951	1379	69
952	1380	68
953	1381	66
954	1382	65
955	1382	63
956	1383	62
957	1384	60
958	1384	59
959	1385	57
960	1385	56
961	1386	54
962	1387	53
963	1387	51
964	1388	50
965	1389	48
966	1389	47
967	1390	45
968	1391	44
969	1391	43
970	1392	41
971	1392	40
972	1393	38
973	1394	37
974	1395	35
975	1395	34
976	1396	32
977	1397	31
978	1397	29
979	1398	28
980	1398	27
981	1399	25
982	1400	24
983	1400	22
984	1401	21
985	1402	19
986	1402	18
987	1403	17
988	1404	15
989	1404	14
990	1405	12
991	1406	11
992	1406	9
993	1407	8
994	1407	7
995	1408	5
996	1409	4
997	1409	2
998	1410	1
999	1411	0
